task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_059,59,1990746701,1931600234,2000,1553,200,4,0.03,0.8,0.3,0.4,1479.058,585,252,0.9246031746031746,0.9025370048421556,0.9073269463650924,0.9890305079838271,0.9073269463650924
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_060,60,125392308,1699246893,2000,1566,200,4,0.03,0.8,0.3,0.4,1504.366,585,252,0.9047619047619048,0.8618254803895762,0.8741515952042269,0.9883636821416033,0.8741515952042269
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_061,61,1163006521,2114666048,2000,1554,200,4,0.03,0.8,0.3,0.4,1528.983,585,252,0.9325396825396826,0.8947783841525003,0.9089760836515541,0.9927220509160516,0.9089760836515541
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_062,62,1732737955,790830963,2000,1583,200,4,0.03,0.8,0.3,0.4,1553.762,585,252,0.9206349206349206,0.9097166022882398,0.9065082559536315,0.9885988798845217,0.9065082559536315
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_063,63,45309783,1215518826,2000,1596,200,4,0.03,0.8,0.3,0.4,1578.68,585,252,0.9444444444444444,0.9361839406943075,0.9292564152097621,0.9918207484518037,0.9292564152097621
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_064,64,690397752,605775012,2000,1552,200,4,0.03,0.8,0.3,0.4,1603.385,585,252,0.9047619047619048,0.8833872285852459,0.887276350144934,0.9864317946123082,0.887276350144934
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_065,65,219615523,1020548953,2000,1603,200,4,0.03,0.8,0.3,0.4,1628.353,585,252,0.9047619047619048,0.887812582258489,0.8985088809397187,0.9875176859606176,0.8985088809397187
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_066,66,407480932,1918699020,2000,1604,200,4,0.03,0.8,0.3,0.4,1653.33,585,252,0.9206349206349206,0.9238352197946827,0.9200581395348837,0.9923042033991201,0.9200581395348837
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_067,67,1711919371,1586320892,2000,1604,200,4,0.03,0.8,0.3,0.4,1678.383,585,252,0.9484126984126984,0.944399842063701,0.9441686632356003,0.9929767597950973,0.9441686632356003
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_068,68,483481034,1790690363,2000,1552,200,4,0.03,0.8,0.3,0.4,1703.616,585,252,0.9206349206349206,0.8635858885753289,0.8824248980679001,0.9920987008779496,0.8824248980679001
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_069,69,1262278193,794550696,2000,1583,200,4,0.03,0.8,0.3,0.4,1729.026,585,252,0.9285714285714286,0.9034615902593706,0.9055995475113123,0.9899836269717506,0.9055995475113123
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_070,70,1397251863,1240616399,2000,1617,200,4,0.03,0.8,0.3,0.4,1754.068,585,252,0.9325396825396826,0.8880923376408725,0.9017668851524652,0.9938594524920915,0.9017668851524652
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_071,71,1367252133,888046547,2000,1567,200,4,0.03,0.8,0.3,0.4,1778.842,585,252,0.9206349206349206,0.8996447963662408,0.9010570871745007,0.9906521043657157,0.9010570871745007
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_072,72,512785004,674409161,2000,1596,200,4,0.03,0.8,0.3,0.4,1804.226,585,252,0.9206349206349206,0.8930442221637274,0.9143875674865575,0.9889730558601034,0.9143875674865575
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_073,73,1866690868,1745866440,2000,1620,200,4,0.03,0.8,0.3,0.4,1829.354,585,252,0.9087301587301587,0.888217370544268,0.8892849604120372,0.9874253443219659,0.8892849604120372
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_074,74,999187673,264931066,2000,1574,200,4,0.03,0.8,0.3,0.4,1854.112,585,252,0.9047619047619048,0.8748190313240326,0.8910106037206961,0.9863187755959375,0.8910106037206961
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_075,75,2114387187,1078402673,2000,1553,200,4,0.03,0.8,0.3,0.4,1878.81,585,252,0.9166666666666666,0.8973020745973542,0.9055392184131255,0.9874976685262691,0.9055392184131255
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_076,76,1918501820,243209298,2000,1577,200,4,0.03,0.8,0.3,0.4,1903.65,585,252,0.8968253968253969,0.8676164780205318,0.8813426329555363,0.9880302885274289,0.8813426329555363
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_077,77,1142813253,614377261,2000,1602,200,4,0.03,0.8,0.3,0.4,1928.474,585,252,0.9166666666666666,0.9011221588300471,0.9040631369053422,0.990297081494592,0.9040631369053422
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_078,78,1147966324,1956417993,2000,1558,200,4,0.03,0.8,0.3,0.4,1953.566,585,252,0.9087301587301587,0.888217370544268,0.9053868759163995,0.9877150559591521,0.9053868759163995
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_079,79,1702511079,1562645458,2000,1606,200,4,0.03,0.8,0.3,0.4,1978.267,585,252,0.9246031746031746,0.9073409006041981,0.9118681048262534,0.9922964695416193,0.9118681048262534
pam50_subtype,auc_bytree03_bynode04_depth4,100,test_080,80,1660044131,722016372,2000,1595,200,4,0.03,0.8,0.3,0.4,2003.386,585,252,0.9166666666666666,0.9065313240326401,0.9132830385632777,0.9847644282062653,0.9132830385632777
