gene,prior_gene_set,is_prior_gene,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034,test_035,test_036,test_037,test_038,test_039,test_040,test_041,test_042,test_043,test_044,test_045,test_046,test_047,test_048,test_049,test_050,test_051,test_052,test_053,test_054,test_055,test_056,test_057,test_058,test_059,test_060,test_061,test_062,test_063,test_064,test_065,test_066,test_067,test_068,test_069,test_070,test_071,test_072,test_073,test_074,test_075,test_076,test_077,test_078,test_079,test_080,test_081,test_082,test_083,test_084,test_085,test_086,test_087,test_088,test_089,test_090,test_091,test_092,test_093,test_094,test_095,test_096,test_097,test_098,test_099,test_100
GABARAPL1,,False,98,35,57,51,59,36,44,2000,2000,2000,39,2000,2000,2000,54,52,2000,43,2000,2000,39,2000,35,2000,53,2000,32,92,2000,2000,2000,2000,65,2000,2000,104,50,2000,44,46,46,77,57,2000,93,2000,48,38,57,50,25,62,2000,71,2000,2000,55,75,25,54,86,49,44,2000,56,38,67,2000,2000,2000,81,61,49,30,2000,28,2000,57,2000,52,35,2000,24,2000,50,78,2000,2000,2000,2000,2000,34,2000,64,42,54,2000,2000,2000,2000
STAT5B,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,94,2000,2000,2000,2000,29,2000,43,2000,2000,2000,2000,24,2000,2000,2000,2000,2000,2000,2000,2000,92,2000,2000,82,9,2000,2000,2000,36,2000,2000,2000,37,9,42,2000,2000,2000,2000,2000,21,2000,2000,2000,2000,2000,2000,11,49,2000,59,2000,2000,2000,2000,2000,2000,2000,54,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,21,2000,2,2000,2000,78,27,2000,2000,26,99,2000,2000,2000,2000,2000,2000
NKAPL,,False,2000,2000,2000,2,20,2000,2000,2000,2000,19,15,7,28,26,38,2000,2000,92,2000,27,4,3,10,19,21,23,2000,2000,8,16,2000,2000,14,2000,13,15,36,14,2000,3,2000,18,2000,2000,2000,6,2000,2000,2000,2000,36,13,2000,2000,3,17,20,28,62,2000,2000,2000,2000,2000,3,2000,2000,2000,2000,2000,2000,2000,2000,2000,29,35,33,2000,2000,2000,2000,43,2000,37,1,2000,2000,7,2000,25,2000,2000,2000,20,2000,2000,2000,24,31,51
C21orf34,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,2000,2000,2000,2000,2000,2000,2000,22,2000,93,2000,2000,2000,26,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1,2000,2000,2000,2000,26,2000,2000,2000,2000,2,2000,2000,2000,2000,2000,2000,2000,2,2000,2000,2000,2000,2000,2000,2000,2000,2000,4,57,2000,2000,2000,2000,2000,2000,2,3,2000,2000,2000,2000,2000,2000,2000,2000,2000,9,2000,3,2000,2000,2000,2000
ALDH1A2,,False,2000,48,30,2000,2000,2000,2000,2000,2000,22,2000,15,41,68,2000,2000,2000,2000,2000,1,2000,2000,2000,2000,2000,31,2000,2000,2000,2000,2000,2000,33,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,27,2000,2000,2000,39,48,26,2000,2000,40,2000,46,2000,2000,2000,2000,2000,2000,2000,85,6,2000,60,2000,40,2000,2000,2000,2000,2000,37,20,2000,2000,2000,21,2000,2000,2000,33,2000,2000,2000,25,37,2000,33,2000,2000,83,2000,2000,43,2000,27,2000
HSD17B6,,False,41,56,27,42,42,59,60,54,65,37,44,40,30,52,42,51,62,32,29,49,34,26,53,35,40,35,33,25,44,39,25,65,40,70,59,24,40,41,29,2000,19,32,49,54,47,31,43,46,50,41,45,40,36,51,46,45,43,61,53,39,95,33,33,68,44,32,36,27,53,43,26,49,55,38,30,50,57,37,53,43,51,98,22,29,42,36,65,64,43,39,34,27,49,53,65,66,33,48,43,35
CAV2,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,117,2000,2000,2000,2000,2000
KIF4A,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,31,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,26,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
HIF3A,,False,50,2000,2000,2000,2000,25,2000,57,44,61,2000,102,2000,60,74,2000,2000,2000,38,2000,2000,2000,75,6,9,37,2000,2000,2000,49,2000,2000,63,2,2000,47,2000,2000,2000,2000,62,2000,2000,5,44,52,2000,89,78,31,76,2000,32,34,60,2000,41,2000,55,40,2000,2000,2000,2000,2000,26,2000,66,41,2000,2000,39,2000,16,98,2000,52,2000,2000,45,2000,2000,2000,2000,37,29,2000,2000,2000,37,58,2000,24,41,2000,2000,2000,2000,2000,2000
ARHGAP20,,False,49,11,25,2000,19,10,11,17,11,2000,22,2000,21,28,2000,28,24,2000,1,22,9,27,32,2000,2000,46,2,23,92,17,46,15,2000,32,4,2000,10,2000,32,2000,14,47,40,2000,2000,2000,120,11,2000,34,2000,2,7,2000,29,20,2000,6,104,2000,37,2000,29,25,12,4,92,25,7,33,85,17,2000,2000,1,39,2000,103,2000,2000,2,3,2000,4,49,26,8,2000,34,96,2000,2000,2000,23,11,93,32,26,2000,21
NTRK2,,False,34,4,4,25,2000,2000,41,24,6,29,42,49,44,49,2000,2000,29,2000,36,37,5,18,29,2000,2000,5,26,13,50,23,26,31,23,31,45,31,32,2000,34,49,41,28,11,15,12,9,32,34,2000,27,57,20,2000,38,33,2000,21,50,2000,2000,6,20,28,2000,2000,3,16,48,29,36,20,55,21,29,21,36,9,2000,78,46,2000,2000,6,5,11,2000,22,39,4,30,24,17,6,2000,26,25,17,2000,1,22
SH3BGRL2,,False,52,32,2000,33,46,2000,2,8,15,21,2000,2000,2000,39,47,33,2000,102,2000,38,2000,2000,22,2000,2000,2000,7,2000,2000,2000,19,10,72,46,2000,2000,9,2000,15,2000,30,2000,31,24,18,48,17,59,121,6,2000,2000,2000,6,2000,2000,4,34,31,87,2000,2000,24,28,2000,9,2000,6,2000,4,43,46,2000,8,45,2000,10,11,2000,23,2000,2000,2000,34,28,4,63,2000,2000,3,2000,113,2000,49,2000,17,2000,33,44,2000
MYOM1,,False,2000,61,2000,21,2000,2000,32,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,46,82,2000,2000,2000,2000,2000,2000,37,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,78,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,32,2000,2000,2000,2000,2000,2000,2000,2000,2000,74,2000,2000,2000,2000,2000,113,2000,36,32,118,2000,2000,24,2000,2000,2000,2000,2000,98,2000,40,2000,1,2000,2000,2000,35,2000,65,2000,2000,2000,2000
CAPN11,,False,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1,2000,1,2000,2000,2000,2000,2000,2000,2000,5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,17,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,28,26,2000,2000,2000,2000,2000,2000,2000,2000,2000,4,2000,2000,2000,2000,2000,2000,2000,2000
ABCA10,,False,3,22,2000,2000,2000,6,14,2000,14,1,2000,2000,2000,2000,2000,2000,2000,1,2000,2000,2000,2000,2000,27,2000,2000,13,63,2000,2000,2000,2000,2000,11,2000,2000,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,37,23,2000,2000,2000,2000,2000,2000,2000,2000,2000,31,2000,2000,2000,2000,18,22,2000,2000,2000,2000,2000,2000,2000,2000,2,2000,2000,2000,11,2000,2000,2000,2000,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,6,2000,4,2000,2
