task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_042,42,472007846,100276534,2000,1624,200,4,0.03,0.8,0.3,0.4,893.218,508,218,0.8853211009174312,0.8067755255255256,0.8407229344729346,0.9538475536172886,0.8407229344729346
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_043,43,2001190869,506348570,2000,1649,200,4,0.03,0.8,0.3,0.4,914.39,508,218,0.8990825688073395,0.7835022522522523,0.8133859357696567,0.9646344055842685,0.8133859357696567
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_044,44,616483208,1851412721,2000,1602,200,4,0.03,0.8,0.3,0.4,935.461,508,218,0.9036697247706422,0.8332394894894896,0.8549566945079347,0.9566239755415968,0.8549566945079347
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_045,45,1359342428,124214568,2000,1657,200,4,0.03,0.8,0.3,0.4,956.546,508,218,0.8944954128440367,0.7369557057057057,0.7604000053821508,0.9504245133911139,0.7604000053821508
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_046,46,2141303511,1444120425,2000,1636,200,4,0.03,0.8,0.3,0.4,977.746,508,218,0.8899082568807339,0.761448948948949,0.7877444589308996,0.967738305176645,0.7877444589308996
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_047,47,369134531,1424435122,2000,1606,200,4,0.03,0.8,0.3,0.4,998.554,508,218,0.8899082568807339,0.7896959459459459,0.8199066243833686,0.9599993297350197,0.8199066243833686
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_048,48,864087016,1796310686,2000,1622,200,4,0.03,0.8,0.3,0.4,1019.849,508,218,0.9036697247706422,0.8171921921921922,0.8059179642336762,0.9783522404939713,0.8059179642336762
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_049,49,870595847,733143800,2000,1617,200,4,0.03,0.8,0.3,0.4,1041.011,508,218,0.9174311926605505,0.8621433933933933,0.8738051750380518,0.9392164779450234,0.8738051750380518
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_050,50,1156758754,2035338971,2000,1637,200,4,0.03,0.8,0.3,0.4,1062.672,508,218,0.9220183486238532,0.8565127627627628,0.857913752913753,0.9643386107352159,0.857913752913753
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_051,51,639349730,1440580430,2000,1601,200,4,0.03,0.8,0.3,0.4,1083.768,508,218,0.8715596330275229,0.7394894894894894,0.7582234301971145,0.9518462438773876,0.7582234301971145
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_052,52,865576845,941934417,2000,1579,200,4,0.03,0.8,0.3,0.4,1104.85,508,218,0.8853211009174312,0.7929804804804805,0.7956127206127206,0.9472652026348276,0.7956127206127206
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_053,53,1428594807,660966568,2000,1593,200,4,0.03,0.8,0.3,0.4,1125.659,508,218,0.8715596330275229,0.7879129129129129,0.7814189189189189,0.9545384513470979,0.7814189189189189
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_054,54,1994870169,1396532580,2000,1610,200,4,0.03,0.8,0.3,0.4,1146.61,508,218,0.8669724770642202,0.7587274774774775,0.7541102580270267,0.9412319138271243,0.7541102580270267
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_055,55,1122681571,361863354,2000,1616,200,4,0.03,0.8,0.3,0.4,1167.68,508,218,0.8761467889908257,0.7750563063063063,0.7793924798835198,0.9470584886824999,0.7793924798835198
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_056,56,747215379,851631302,2000,1623,200,4,0.03,0.8,0.3,0.4,1188.752,508,218,0.8990825688073395,0.8292042042042043,0.8271052631578948,0.9423088808709665,0.8271052631578948
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_057,57,1187322647,1237948009,2000,1650,200,4,0.03,0.8,0.3,0.4,1209.76,508,218,0.8669724770642202,0.7188438438438439,0.7368589598685896,0.9427211730019895,0.7368589598685896
