leaderboard_rank,gene,prior_gene_set,is_prior_gene,auc_score,q1_count,q2_count,q3_count,q4_count,q1_rate,q2_rate,q3_rate,q4_rate,mean_rank,median_rank,best_rank,worst_rank,mean_gain,max_gain,gain_nonzero_count,zero_gain_count
38,GPR77,,False,1531.1755877938972,75,6,0,19,0.75,0.06,0.0,0.19,469.59,29.5,1,2000,58.96006081461906,400.0985107421875,81,19
39,MEX3A,,False,1530.3051525762885,80,2,0,18,0.8,0.02,0.0,0.18,470.46,107.5,26,2000,9.530741873979569,35.67729187011719,82,18
40,RHOB,,False,1530.115057528764,79,6,0,15,0.79,0.06,0.0,0.15,470.65,180.0,38,2000,7.294948392212391,23.19487762451172,85,15
41,ZNF518B,,False,1525.792896448224,83,8,0,9,0.83,0.08,0.0,0.09,474.97,332.0,69,2000,3.9934943604469297,13.204444885253906,91,9
42,ORMDL3,,False,1517.8289144572286,79,3,0,18,0.79,0.03,0.0,0.18,482.93,123.0,25,2000,10.848215148448944,40.170562744140625,82,18
43,RAB27B,,False,1513.2966483241619,83,0,0,17,0.83,0.0,0.0,0.17,487.46,178.0,27,2000,7.479675574302673,36.384132385253906,83,17
44,MARCH8,,False,1506.0130065032517,83,2,0,15,0.83,0.02,0.0,0.15,494.74,231.0,88,2000,5.268037598133088,11.96672248840332,85,15
45,C12orf66,,False,1500.24012006003,79,10,0,11,0.79,0.1,0.0,0.11,500.51,311.0,58,2000,4.26339015007019,16.947059631347656,89,11
46,SEZ6L,,False,1497.9189594797397,84,5,0,11,0.84,0.05,0.0,0.11,502.83,321.5,115,2000,3.9413971549272535,9.96311092376709,89,11
47,MLPH,pam50,True,1493.686843421711,72,7,0,21,0.72,0.07,0.0,0.21,507.06,39.5,1,2000,56.54903538167477,278.0962219238281,79,21
48,KCTD3,,False,1488.5242621310654,78,4,0,18,0.78,0.04,0.0,0.18,512.22,174.5,22,2000,7.821391748189926,55.58122253417969,82,18
49,UBE2E3,,False,1483.3616808404204,79,1,0,20,0.79,0.01,0.0,0.2,517.38,153.5,23,2000,8.832866253852844,44.78224182128906,80,20
50,ATP8B1,,False,1480.280140070035,75,5,0,20,0.75,0.05,0.0,0.2,520.46,121.5,7,2000,12.848112795352936,125.57672119140625,80,20
51,SLC39A6,pam50,True,1479.2596298149074,74,5,0,21,0.74,0.05,0.0,0.21,521.48,92.0,1,2000,34.39935787558556,397.119384765625,79,21
52,MED13L,,False,1476.8484242121058,79,7,0,14,0.79,0.07,0.0,0.14,523.89,281.5,54,2000,4.48362869143486,18.076318740844727,86,14
53,AGR2,,False,1460.5002501250626,70,9,0,21,0.7,0.09,0.0,0.21,540.23,95.5,1,2000,40.69785841569305,452.3303527832031,79,21
54,SPEF2,,False,1449.7348674337168,80,3,0,17,0.8,0.03,0.0,0.17,550.99,254.5,77,2000,4.980607836246491,12.528498649597168,83,17
55,DZIP1,,False,1441.9309654827416,76,10,0,14,0.76,0.1,0.0,0.14,558.79,310.5,112,2000,3.645833057165146,8.547297477722168,86,14
